date,excercise_name,set_num,weight,rep
2020-10-01,Bent Over One Arm Row (Dumbbell),1,66.13867866,15
2020-10-01,Bent Over One Arm Row (Dumbbell),2,66.13867866,15
2020-10-01,Lat Pulldown (Single Arm),1,63.38290038,12
2020-10-01,Lat Pulldown (Single Arm),2,63.38290038,12
2020-10-01,Lat Pulldown (Single Arm),3,63.38290038,12
2020-10-02,Bench Press (Barbell),1,44.09245244,5
2020-10-02,Bench Press (Barbell),2,110.2311311,5
2020-10-02,Bench Press (Barbell),3,176.3698097,3
2020-10-02,Bench Press (Barbell),4,214.9507056,5
2020-10-02,Bench Press (Barbell),5,214.9507056,5
2020-10-02,Bench Press (Barbell),6,214.9507056,4
2020-10-02,Bench Press (Barbell),7,214.9507056,4
2020-10-02,Chest Fly,1,30.31356105,12
2020-10-02,Chest Fly,2,30.31356105,12
2020-10-02,Chest Fly,3,30.31356105,12
2020-10-02,Seated Overhead Press (Dumbbell),1,48.50169768,12
2020-10-02,Seated Overhead Press (Dumbbell),2,48.50169768,12
2020-10-02,Seated Overhead Press (Dumbbell),3,48.50169768,11
2020-10-02,Lateral Raise (Dumbbell),1,27.55778277,15
2020-10-02,Lateral Raise (Dumbbell),2,27.55778277,15
2020-10-02,Lateral Raise (Dumbbell),3,27.55778277,15
2020-10-02,Lateral Raise (Dumbbell),4,16.53466966,12
2020-10-02,Chest Press (Machine),1,176.3698097,10
2020-10-02,Chest Press (Machine),2,176.3698097,10
2020-10-02,Triceps Pushdown (Cable - Straight Bar),1,35.82511761,15
2020-10-02,Triceps Pushdown (Cable - Straight Bar),2,35.82511761,14
2020-10-03,Chin Up,1,0,10
2020-10-03,Chin Up,2,0,10
2020-10-03,Chin Up,3,0,9
2020-10-03,Chin Up,4,0,7
2020-10-03,Bent Over Row (Barbell),1,154.3235835,12
2020-10-03,Bent Over Row (Barbell),2,154.3235835,12
2020-10-03,Bent Over Row (Barbell),3,154.3235835,12
2020-10-03,Lat Pulldown (Single Arm),1,68.89445693,10
2020-10-03,Lat Pulldown (Single Arm),2,68.89445693,10
2020-10-03,Lat Pulldown (Single Arm),3,68.89445693,10
2020-10-03,Bent Over One Arm Row (Dumbbell),1,66.13867866,15
2020-10-03,Bent Over One Arm Row (Dumbbell),2,66.13867866,15
2020-10-03,Bent Over One Arm Row (Dumbbell),3,66.13867866,14
2020-10-03,Bicep Curl (Dumbbell),1,27.55778277,12
2020-10-03,Bicep Curl (Dumbbell),2,27.55778277,10
2020-10-03,Bicep Curl (Dumbbell),3,27.55778277,8
2020-10-05,Bench Press (Barbell),1,44.09245244,5
2020-10-05,Bench Press (Barbell),2,66.13867866,5
2020-10-05,Bench Press (Barbell),3,110.2311311,5
2020-10-05,Bench Press (Barbell),4,143.3004704,3
2020-10-05,Bench Press (Barbell),5,165.3466966,10
2020-10-05,Bench Press (Barbell),6,165.3466966,10
2020-10-05,Bench Press (Barbell),7,165.3466966,10
2020-10-05,Chest Fly,1,30.31356105,10
2020-10-05,Chest Fly,2,30.31356105,10
2020-10-05,Overhead Press (Barbell),1,99.20801798,6
2020-10-05,Overhead Press (Barbell),2,99.20801798,6
2020-10-05,Overhead Press (Barbell),3,99.20801798,6
2020-10-05,Lateral Raise (Dumbbell),1,22.04622622,15
2020-10-05,Lateral Raise (Dumbbell),2,22.04622622,15
2020-10-05,Leg Extension (Machine),1,209.4391491,12
2020-10-05,Leg Extension (Machine),2,209.4391491,12
2020-10-05,Lying Leg Curl (Machine),1,99.20801798,12
2020-10-05,Lying Leg Curl (Machine),2,99.20801798,12
2020-10-05,Chest Press (Machine),1,165.3466966,10
2020-10-05,Chest Press (Machine),2,165.3466966,10
2020-10-07,Bench Press (Barbell),1,44.09245244,5
2020-10-07,Bench Press (Barbell),2,110.2311311,5
2020-10-07,Bench Press (Barbell),3,154.3235835,3
2020-10-07,Bench Press (Barbell),4,187.3929229,5
2020-10-07,Bench Press (Barbell),5,187.3929229,5
2020-10-07,Bench Press (Barbell),6,187.3929229,5
2020-10-07,Chest Fly,1,119.0496216,12
2020-10-07,Chest Fly,2,119.0496216,12
2020-10-07,Seated Overhead Press (Dumbbell),1,44.09245244,12
2020-10-07,Seated Overhead Press (Dumbbell),2,44.09245244,12
2020-10-07,Lateral Raise (Dumbbell),1,22.04622622,15
2020-10-07,Lateral Raise (Dumbbell),2,27.55778277,15
2020-10-07,Chest Press (Machine),1,176.3698097,10
2020-10-07,Chest Press (Machine),2,176.3698097,10
2020-10-07,Triceps Extension (Dumbbell),1,66.13867866,12
2020-10-07,Triceps Extension (Dumbbell),2,66.13867866,12
2020-10-09,Bench Press (Barbell),1,44.09245244,5
2020-10-09,Bench Press (Barbell),2,110.2311311,5
2020-10-09,Bench Press (Barbell),3,176.3698097,3
2020-10-09,Bench Press (Barbell),4,187.3929229,5
2020-10-09,Bench Press (Barbell),5,187.3929229,5
2020-10-09,Bench Press (Barbell),6,187.3929229,5
2020-10-09,Chest Fly,1,119.0496216,12
2020-10-09,Chest Fly,2,119.0496216,12
2020-10-09,Seated Overhead Press (Dumbbell),1,44.09245244,12
2020-10-09,Seated Overhead Press (Dumbbell),2,44.09245244,12
2020-10-09,Lateral Raise (Dumbbell),1,22.04622622,15
2020-10-09,Lateral Raise (Dumbbell),2,22.04622622,15
2020-10-09,Chest Press (Machine),1,176.3698097,10
2020-10-09,Chest Press (Machine),2,176.3698097,10
2020-10-10,Chin Up,1,22.04622622,5
2020-10-10,Chin Up,2,22.04622622,5
2020-10-10,Chin Up,3,22.04622622,5
2020-10-10,Bent Over Row (Barbell),1,132.2773573,12
2020-10-10,Bent Over Row (Barbell),2,132.2773573,12
2020-10-10,Lat Pulldown (Single Arm),1,99.20801798,12
2020-10-10,Lat Pulldown (Single Arm),2,99.20801798,12
2020-10-10,Seated Row (Cable),1,200.6206586,12
2020-10-10,Seated Row (Cable),2,200.6206586,12
2020-10-10,Bicep Curl (Dumbbell),1,22.04622622,12
2020-10-10,Bicep Curl (Dumbbell),2,22.04622622,12
2020-10-10,Reverse Fly (Machine),1,99.20801798,15
2020-10-12,Bench Press (Barbell),1,44.09245244,5
2020-10-12,Bench Press (Barbell),2,66.13867866,5
2020-10-12,Bench Press (Barbell),3,110.2311311,5
2020-10-12,Bench Press (Barbell),4,143.3004704,3
2020-10-12,Bench Press (Barbell),5,181.8813663,10
2020-10-12,Bench Press (Barbell),6,181.8813663,10
2020-10-12,Bench Press (Barbell),7,181.8813663,9
2020-10-12,Bench Press (Barbell),8,181.8813663,8
2020-10-12,Chest Fly,1,141.0958478,12
2020-10-12,Chest Fly,2,141.0958478,12
2020-10-12,Chest Fly,3,141.0958478,11
2020-10-12,Overhead Press (Barbell),1,115.7426876,6
2020-10-12,Overhead Press (Barbell),2,115.7426876,6
2020-10-12,Overhead Press (Barbell),3,115.7426876,6
2020-10-12,Overhead Press (Barbell),4,115.7426876,5
2020-10-12,Lateral Raise (Dumbbell),1,26.45547146,15
2020-10-12,Lateral Raise (Dumbbell),2,26.45547146,15
2020-10-12,Lateral Raise (Dumbbell),3,26.45547146,15
2020-10-12,Lateral Raise (Dumbbell),4,17.63698097,10
2020-10-12,Leg Extension (Machine),1,229.2807527,12
2020-10-12,Leg Extension (Machine),2,229.2807527,12
2020-10-12,Leg Extension (Machine),3,229.2807527,11
2020-10-12,Lying Leg Curl (Machine),1,83.77565963,12
2020-10-12,Lying Leg Curl (Machine),2,83.77565963,12
2020-10-12,Lying Leg Curl (Machine),3,83.77565963,11
2020-10-12,Chest Press (Machine),1,203.9275925,10
2020-10-12,Chest Press (Machine),2,203.9275925,9
2020-10-13,Bent Over Row (Barbell),1,44.09245244,5
2020-10-13,Bent Over Row (Barbell),2,66.13867866,5
2020-10-13,Bent Over Row (Barbell),3,110.2311311,5
2020-10-13,Bent Over Row (Barbell),4,143.3004704,3
2020-10-13,Bent Over Row (Barbell),5,187.3929229,8
2020-10-13,Bent Over Row (Barbell),6,187.3929229,8
2020-10-13,Bent Over Row (Barbell),7,176.3698097,8
2020-10-13,Chin Up,1,0,10
2020-10-13,Chin Up,2,0,10
2020-10-13,Chin Up,3,0,8
2020-10-13,Seated Row (Cable),1,220.4622622,12
2020-10-13,Seated Row (Cable),2,220.4622622,12
2020-10-13,Seated Row (Cable),3,220.4622622,11
2020-10-13,Lat Pulldown (Machine),1,198.416036,12
2020-10-13,Lat Pulldown (Machine),2,198.416036,10
2020-10-13,Lat Pulldown (Machine),3,198.416036,10
2020-10-13,Reverse Fly (Machine),1,110.2311311,15
2020-10-13,Reverse Fly (Machine),2,110.2311311,15
2020-10-13,Bicep Curl (Barbell),1,55.11556555,12
2020-10-13,Bicep Curl (Barbell),2,55.11556555,12
2020-10-14,Bench Press (Barbell),1,44.09245244,5
2020-10-14,Bench Press (Barbell),2,110.2311311,5
2020-10-14,Bench Press (Barbell),3,176.3698097,3
2020-10-14,Bench Press (Barbell),4,214.9507056,5
2020-10-14,Bench Press (Barbell),5,214.9507056,4
2020-10-14,Bench Press (Barbell),6,214.9507056,4
2020-10-14,Bench Press (Barbell),7,214.9507056,4
2020-10-14,Chest Fly,1,141.0958478,12
2020-10-14,Chest Fly,2,141.0958478,12
2020-10-14,Chest Fly,3,141.0958478,11
2020-10-14,Seated Overhead Press (Dumbbell),1,48.50169768,12
2020-10-14,Seated Overhead Press (Dumbbell),2,48.50169768,12
2020-10-14,Seated Overhead Press (Dumbbell),3,48.50169768,10
2020-10-14,Lateral Raise (Dumbbell),1,26.45547146,15
2020-10-14,Lateral Raise (Dumbbell),2,26.45547146,15
2020-10-14,Lateral Raise (Dumbbell),3,26.45547146,15
2020-10-14,Chest Press (Machine),1,203.9275925,10
2020-10-14,Chest Press (Machine),2,203.9275925,10
2020-10-14,Triceps Extension (Dumbbell),1,66.13867866,15
2020-10-14,Triceps Extension (Dumbbell),2,66.13867866,13
2020-10-15,Sumo Deadlift (Barbell),1,44.09245244,5
2020-10-15,Sumo Deadlift (Barbell),2,110.2311311,5
2020-10-15,Sumo Deadlift (Barbell),3,176.3698097,5
2020-10-15,Sumo Deadlift (Barbell),4,242.5084884,3
2020-10-15,Sumo Deadlift (Barbell),5,286.6009408,5
2020-10-15,Sumo Deadlift (Barbell),6,286.6009408,5
2020-10-15,Sumo Deadlift (Barbell),7,286.6009408,4
2020-10-15,Sumo Deadlift (Barbell),8,286.6009408,4
2020-10-15,Chin Up,1,0,10
2020-10-15,Chin Up,2,0,10
2020-10-15,Chin Up,3,0,8
2020-10-15,Seated Row (Cable),1,220.4622622,12
2020-10-15,Seated Row (Cable),2,220.4622622,11
2020-10-15,Seated Row (Cable),3,220.4622622,11
2020-10-15,Leg Extension (Machine),1,229.2807527,12
2020-10-15,Leg Extension (Machine),2,229.2807527,12
2020-10-15,Leg Extension (Machine),3,229.2807527,12
2020-10-15,Lying Leg Curl (Machine),1,83.77565963,12
2020-10-15,Lying Leg Curl (Machine),2,83.77565963,12
2020-10-15,Lying Leg Curl (Machine),3,83.77565963,12
2020-10-16,Bench Press (Barbell),1,44.09245244,5
2020-10-16,Bench Press (Barbell),2,110.2311311,5
2020-10-16,Bench Press (Barbell),3,176.3698097,3
2020-10-16,Bench Press (Barbell),4,214.9507056,5
2020-10-16,Bench Press (Barbell),5,214.9507056,4
2020-10-16,Bench Press (Barbell),6,214.9507056,4
2020-10-16,Bench Press (Barbell),7,214.9507056,4
2020-10-16,Chest Fly,1,141.0958478,12
2020-10-16,Chest Fly,2,141.0958478,12
2020-10-16,Chest Fly,3,141.0958478,11
2020-10-16,Seated Overhead Press (Dumbbell),1,48.50169768,12
2020-10-16,Seated Overhead Press (Dumbbell),2,48.50169768,11
2020-10-16,Seated Overhead Press (Dumbbell),3,48.50169768,10
2020-10-16,Lateral Raise (Dumbbell),1,26.45547146,15
2020-10-16,Lateral Raise (Dumbbell),2,26.45547146,15
2020-10-16,Lateral Raise (Dumbbell),3,26.45547146,15
2020-10-16,Chest Press (Machine),1,209.4391491,9
2020-10-16,Chest Press (Machine),2,209.4391491,9
2020-10-17,Chin Up,1,44.09245244,5
2020-10-17,Chin Up,2,44.09245244,5
2020-10-17,Chin Up,3,44.09245244,4
2020-10-17,Chin Up,4,44.09245244,4
2020-10-17,Bent Over One Arm Row (Dumbbell),1,74.95716914,12
2020-10-17,Bent Over One Arm Row (Dumbbell),2,74.95716914,12
2020-10-17,Bent Over One Arm Row (Dumbbell),3,74.95716914,12
2020-10-17,Lat Pulldown (Single Arm),1,110.2311311,12
2020-10-17,Lat Pulldown (Single Arm),2,110.2311311,10
2020-10-17,Lat Pulldown (Single Arm),3,110.2311311,10
2020-10-17,Seated Row (Cable),1,220.4622622,12
2020-10-17,Seated Row (Cable),2,220.4622622,12
2020-10-17,Seated Row (Cable),3,220.4622622,11
2020-10-17,Bicep Curl (Dumbbell),1,26.45547146,12
2020-10-17,Bicep Curl (Dumbbell),2,26.45547146,12
2020-10-17,Bicep Curl (Dumbbell),3,26.45547146,9
2020-10-17,Reverse Fly (Machine),1,110.2311311,15
2020-10-19,Bench Press (Barbell),1,44.09245244,2
2020-10-19,Bench Press (Barbell),2,66.13867866,5
2020-10-19,Bench Press (Barbell),3,110.2311311,5
2020-10-19,Bench Press (Barbell),4,143.3004704,3
2020-10-19,Bench Press (Barbell),5,181.8813663,10
2020-10-19,Bench Press (Barbell),6,181.8813663,10
2020-10-19,Bench Press (Barbell),7,181.8813663,9
2020-10-19,Bench Press (Barbell),8,181.8813663,8
2020-10-19,Chest Fly,1,141.0958478,12
2020-10-19,Chest Fly,2,141.0958478,12
2020-10-19,Chest Fly,3,141.0958478,11
2020-10-19,Overhead Press (Barbell),1,121.2542442,6
2020-10-19,Overhead Press (Barbell),2,121.2542442,6
2020-10-19,Overhead Press (Barbell),3,121.2542442,5
2020-10-19,Overhead Press (Barbell),4,121.2542442,5
2020-10-19,Lateral Raise (Dumbbell),1,26.45547146,15
2020-10-19,Lateral Raise (Dumbbell),2,26.45547146,15
2020-10-19,Lateral Raise (Dumbbell),3,26.45547146,15
2020-10-19,Lateral Raise (Dumbbell),4,17.63698097,10
2020-10-19,Leg Extension (Machine),1,229.2807527,12
2020-10-19,Leg Extension (Machine),2,229.2807527,12
2020-10-19,Leg Extension (Machine),3,229.2807527,12
2020-10-19,Lying Leg Curl (Machine),1,83.77565963,12
2020-10-19,Lying Leg Curl (Machine),2,83.77565963,12
2020-10-19,Lying Leg Curl (Machine),3,83.77565963,11
2020-10-19,Chest Press (Machine),1,209.4391491,10
2020-10-19,Chest Press (Machine),2,209.4391491,9
2020-10-20,Chin Up,1,44.09245244,5
2020-10-20,Chin Up,2,44.09245244,5
2020-10-20,Chin Up,3,44.09245244,5
2020-10-20,Chin Up,4,44.09245244,4
2020-10-20,Bent Over One Arm Row (Dumbbell),1,74.95716914,12
2020-10-20,Bent Over One Arm Row (Dumbbell),2,74.95716914,12
2020-10-20,Bent Over One Arm Row (Dumbbell),3,74.95716914,12
2020-10-20,Seated Row (Cable),1,220.4622622,12
2020-10-20,Seated Row (Cable),2,220.4622622,12
2020-10-20,Seated Row (Cable),3,220.4622622,11
2020-10-20,Lat Pulldown (Machine),1,198.416036,12
2020-10-20,Lat Pulldown (Machine),2,198.416036,11
2020-10-20,Lat Pulldown (Machine),3,198.416036,10
2020-10-20,Reverse Fly (Machine),1,110.2311311,15
2020-10-20,Bicep Curl (Barbell),1,55.11556555,12
2020-10-20,Bicep Curl (Barbell),2,55.11556555,9
2020-10-21,Bench Press (Barbell),1,44.09245244,5
2020-10-21,Bench Press (Barbell),2,110.2311311,5
2020-10-21,Bench Press (Barbell),3,176.3698097,3
2020-10-21,Bench Press (Barbell),4,214.9507056,4
2020-10-21,Bench Press (Barbell),5,214.9507056,4
2020-10-21,Bench Press (Barbell),6,214.9507056,4
2020-10-21,Bench Press (Barbell),7,214.9507056,4
2020-10-21,Chest Fly,1,141.0958478,12
2020-10-21,Chest Fly,2,141.0958478,12
2020-10-21,Chest Fly,3,141.0958478,11
2020-10-21,Seated Overhead Press (Dumbbell),1,48.50169768,12
2020-10-21,Seated Overhead Press (Dumbbell),2,48.50169768,12
2020-10-21,Seated Overhead Press (Dumbbell),3,48.50169768,8
2020-10-21,Lateral Raise (Dumbbell),1,26.45547146,15
2020-10-21,Lateral Raise (Dumbbell),2,26.45547146,15
2020-10-21,Lateral Raise (Dumbbell),3,26.45547146,15
2020-10-21,Lateral Raise (Dumbbell),4,26.45547146,15
2020-10-21,Chest Press (Machine),1,209.4391491,10
2020-10-21,Chest Press (Machine),2,209.4391491,9
2020-10-21,Triceps Extension (Dumbbell),1,66.13867866,15
2020-10-21,Triceps Extension (Dumbbell),2,66.13867866,14
2020-10-23,Sumo Deadlift (Barbell),1,44.09245244,5
2020-10-23,Sumo Deadlift (Barbell),2,110.2311311,5
2020-10-23,Sumo Deadlift (Barbell),3,176.3698097,5
2020-10-23,Sumo Deadlift (Barbell),4,242.5084884,3
2020-10-23,Sumo Deadlift (Barbell),5,286.6009408,5
2020-10-23,Sumo Deadlift (Barbell),6,286.6009408,5
2020-10-23,Sumo Deadlift (Barbell),7,286.6009408,4
2020-10-23,Chin Up,1,0,10
2020-10-23,Chin Up,2,0,10
2020-10-23,Chin Up,3,0,8
2020-10-23,Seated Row (Cable),1,220.4622622,12
2020-10-23,Seated Row (Cable),2,220.4622622,12
2020-10-23,Seated Row (Cable),3,220.4622622,12
2020-10-23,Leg Extension (Machine),1,229.2807527,12
2020-10-23,Leg Extension (Machine),2,229.2807527,12
2020-10-23,Leg Extension (Machine),3,229.2807527,12
2020-10-23,Lying Leg Curl (Machine),1,83.77565963,12
2020-10-23,Lying Leg Curl (Machine),2,83.77565963,12
2020-10-23,Lying Leg Curl (Machine),3,83.77565963,12
2020-10-23,Reverse Fly (Machine),1,110.2311311,15
2020-10-23,Reverse Fly (Machine),2,110.2311311,15
2020-10-23,Bicep Curl (Barbell),1,55.11556555,12
2020-10-23,Bicep Curl (Barbell),2,55.11556555,9
2020-10-26,Bench Press (Barbell),1,44.09245244,8
2020-10-26,Bench Press (Barbell),2,110.2311311,8
2020-10-26,Bench Press (Barbell),3,154.3235835,5
2020-10-26,Bench Press (Barbell),4,187.3929229,10
2020-10-26,Bench Press (Barbell),5,187.3929229,9
2020-10-26,Bench Press (Barbell),6,187.3929229,8
2020-10-26,Bench Press (Barbell),7,187.3929229,6
2020-10-26,Chest Fly,1,141.0958478,12
2020-10-26,Chest Fly,2,141.0958478,12
2020-10-26,Chest Fly,3,141.0958478,11
2020-10-26,Overhead Press (Barbell),1,121.2542442,6
2020-10-26,Overhead Press (Barbell),2,121.2542442,6
2020-10-26,Overhead Press (Barbell),3,121.2542442,5
2020-10-26,Overhead Press (Barbell),4,121.2542442,4
2020-10-26,Lateral Raise (Dumbbell),1,26.45547146,15
2020-10-26,Lateral Raise (Dumbbell),2,26.45547146,15
2020-10-26,Lateral Raise (Dumbbell),3,26.45547146,15
2020-10-26,Lateral Raise (Dumbbell),4,17.63698097,10
2020-10-26,Chest Press (Machine),1,209.4391491,10
2020-10-26,Chest Press (Machine),2,209.4391491,8
2020-10-26,Triceps Extension,1,70.5479239,15
2020-10-26,Triceps Extension,2,70.5479239,12
2020-10-28,Chin Up,1,44.09245244,5
2020-10-28,Chin Up,2,44.09245244,5
2020-10-28,Chin Up,3,44.09245244,5
2020-10-28,Chin Up,4,44.09245244,4
2020-10-28,Seated Row (Cable),1,220.4622622,12
2020-10-28,Seated Row (Cable),2,220.4622622,12
2020-10-28,Seated Row (Cable),3,220.4622622,12
2020-10-28,Lat Pulldown (Single Arm),1,110.2311311,12
2020-10-28,Lat Pulldown (Single Arm),2,110.2311311,10
2020-10-28,Lat Pulldown (Single Arm),3,110.2311311,10
2020-10-28,Leg Extension (Machine),1,233.6899979,12
2020-10-28,Leg Extension (Machine),2,233.6899979,12
2020-10-28,Leg Extension (Machine),3,233.6899979,12
2020-10-28,Lying Leg Curl (Machine),1,90.3895275,12
2020-10-28,Lying Leg Curl (Machine),2,90.3895275,12
2020-10-28,Lying Leg Curl (Machine),3,90.3895275,10
2020-10-28,Reverse Fly (Machine),1,110.2311311,15
2020-10-28,Reverse Fly (Machine),2,110.2311311,15
2020-10-28,Bicep Curl (Dumbbell),1,26.45547146,12
2020-10-28,Bicep Curl (Dumbbell),2,26.45547146,10
2020-10-29,Bench Press (Barbell),1,44.09245244,5
2020-10-29,Bench Press (Barbell),2,110.2311311,5
2020-10-29,Bench Press (Barbell),3,176.3698097,3
2020-10-29,Bench Press (Barbell),4,209.4391491,5
2020-10-29,Bench Press (Barbell),5,209.4391491,5
2020-10-29,Bench Press (Barbell),6,209.4391491,5
2020-10-29,Bench Press (Barbell),7,209.4391491,5
2020-10-29,Chest Fly,1,141.0958478,12
2020-10-29,Chest Fly,2,141.0958478,12
2020-10-29,Chest Fly,3,141.0958478,11
2020-10-29,Seated Overhead Press (Dumbbell),1,48.50169768,12
2020-10-29,Seated Overhead Press (Dumbbell),2,48.50169768,11
2020-10-29,Seated Overhead Press (Dumbbell),3,48.50169768,8
2020-10-29,Lateral Raise (Dumbbell),1,26.45547146,15
2020-10-29,Lateral Raise (Dumbbell),2,26.45547146,15
2020-10-29,Lateral Raise (Dumbbell),3,26.45547146,15
2020-10-29,Lateral Raise (Dumbbell),4,17.63698097,12
2020-10-29,Chest Press (Machine),1,209.4391491,10
2020-10-29,Chest Press (Machine),2,209.4391491,9
2020-10-29,Triceps Extension (Dumbbell),1,66.13867866,15
2020-10-29,Triceps Extension (Dumbbell),2,66.13867866,15
2020-10-31,Chin Up,1,44.09245244,5
2020-10-31,Chin Up,2,44.09245244,4
2020-10-31,Chin Up,3,0,10
2020-10-31,Chin Up,4,0,9
2020-10-31,Chin Up,5,0,4
2020-10-31,Seated Row (Cable),1,220.4622622,12
2020-10-31,Seated Row (Cable),2,220.4622622,12
2020-10-31,Seated Row (Cable),3,220.4622622,12
2020-10-31,Leg Extension (Machine),1,240.3038658,12
2020-10-31,Leg Extension (Machine),2,240.3038658,12
2020-10-31,Leg Extension (Machine),3,240.3038658,11
2020-10-31,Lying Leg Curl (Machine),1,90.3895275,12
2020-10-31,Lying Leg Curl (Machine),2,90.3895275,12
2020-10-31,Lying Leg Curl (Machine),3,90.3895275,11
2020-10-31,Lat Pulldown (Machine),1,198.416036,12
2020-10-31,Lat Pulldown (Machine),2,198.416036,12
2020-10-31,Lat Pulldown (Machine),3,198.416036,10
2020-10-31,Reverse Fly (Machine),1,110.2311311,15
2020-10-31,Reverse Fly (Machine),2,110.2311311,13
2020-10-31,Bicep Curl (Barbell),1,55.11556555,12
2020-10-31,Bicep Curl (Barbell),2,55.11556555,11
2020-11-02,Bench Press (Barbell),1,44.09245244,8
2020-11-02,Bench Press (Barbell),2,110.2311311,8
2020-11-02,Bench Press (Barbell),3,154.3235835,5
2020-11-02,Bench Press (Barbell),4,187.3929229,10
2020-11-02,Bench Press (Barbell),5,187.3929229,9
2020-11-02,Bench Press (Barbell),6,187.3929229,7
2020-11-02,Bench Press (Barbell),7,187.3929229,7
2020-11-02,Chest Fly,1,141.0958478,12
2020-11-02,Chest Fly,2,141.0958478,12
2020-11-02,Chest Fly,3,141.0958478,11
2020-11-02,Overhead Press (Barbell),1,121.2542442,6
2020-11-02,Overhead Press (Barbell),2,121.2542442,6
2020-11-02,Overhead Press (Barbell),3,121.2542442,5
2020-11-02,Overhead Press (Barbell),4,121.2542442,4
2020-11-02,Lateral Raise (Dumbbell),1,26.45547146,15
2020-11-02,Lateral Raise (Dumbbell),2,26.45547146,15
2020-11-02,Lateral Raise (Dumbbell),3,26.45547146,15
2020-11-02,Lateral Raise (Dumbbell),4,17.63698097,12
2020-11-02,Chest Press (Machine),1,209.4391491,10
2020-11-02,Chest Press (Machine),2,209.4391491,8
2020-11-03,Chin Up,1,44.09245244,5
2020-11-03,Chin Up,2,44.09245244,5
2020-11-03,Chin Up,3,44.09245244,5
2020-11-03,Chin Up,4,44.09245244,4
2020-11-03,Seated Row (Cable),1,224.8715074,12
2020-11-03,Seated Row (Cable),2,224.8715074,12
2020-11-03,Seated Row (Cable),3,224.8715074,12
2020-11-03,Lat Pulldown (Single Arm),1,110.2311311,12
2020-11-03,Lat Pulldown (Single Arm),2,110.2311311,10
2020-11-03,Leg Extension (Machine),1,240.3038658,12
2020-11-03,Leg Extension (Machine),2,240.3038658,12
2020-11-03,Leg Extension (Machine),3,240.3038658,12
2020-11-03,Lying Leg Curl (Machine),1,90.3895275,12
2020-11-03,Lying Leg Curl (Machine),2,90.3895275,12
2020-11-03,Lying Leg Curl (Machine),3,90.3895275,11
2020-11-03,Reverse Fly (Machine),1,110.2311311,15
